0|Ayuda y asistencia para comprar|Hilfe und Kaufberatung|Aiuto e assistenza all'acquisto
1|Descubre cómo comprar, personalizar y hacer el seguimiento de tus productos promocionales con 360 Merchandising.|Erfahren Sie, wie Sie Werbeartikel bei 360 Merchandising kaufen, personalisieren und nachverfolgen.|Scopri come acquistare, personalizzare e seguire i tuoi prodotti promozionali con 360 Merchandising.
2|Volver al inicio|Zur Startseite|Torna alla pagina iniziale
3|Ayuda|Hilfe|Aiuto
4|¿Cómo podemos ayudarte?|Wie können wir Ihnen helfen?|Come possiamo aiutarti?
5|Encuentra información sobre compra directa, personalización, solicitudes a medida, stock, plazos, pago y seguimiento de pedidos.|Hier finden Sie Informationen zu Direktbestellungen, Personalisierung, individuellen Anfragen, Bestand, Lieferzeiten, Bezahlung und Bestellverfolgung.|Trova informazioni su acquisti diretti, personalizzazione, richieste su misura, disponibilità, tempi, pagamento e monitoraggio degli ordini.
6|Buscar productos o temas de ayuda|Produkte oder Hilfethemen suchen|Cerca prodotti o argomenti di aiuto
7|¿Necesitas asistencia personalizada?|Benötigen Sie individuelle Unterstützung?|Hai bisogno di assistenza personalizzata?
8|Para campañas complejas, grandes cantidades o personalizaciones específicas, envíanos una solicitud a medida.|Senden Sie uns bei komplexen Kampagnen, großen Mengen oder besonderen Personalisierungswünschen eine individuelle Anfrage.|Per campagne complesse, grandi quantità o personalizzazioni specifiche, inviaci una richiesta su misura.
9|Enviar una solicitud a medida|Individuelle Anfrage senden|Invia una richiesta su misura
10|Cómo comprar|So kaufen Sie ein|Come acquistare
11|Elige un producto, configura la cantidad y la personalización, añádelo al carrito y completa la compra.|Wählen Sie ein Produkt, legen Sie Menge und Personalisierung fest, fügen Sie es dem Warenkorb hinzu und schließen Sie die Bestellung ab.|Scegli un prodotto, imposta quantità e personalizzazione, aggiungilo al carrello e completa l'acquisto.
12|Personalización|Personalisierung|Personalizzazione
13|Selecciona una técnica, indica las instrucciones de impresión y carga tu logotipo durante la personalización.|Wählen Sie eine Technik, geben Sie Druckanweisungen an und laden Sie während der Personalisierung Ihr Logo hoch.|Seleziona una tecnica, indica le istruzioni di stampa e carica il tuo logo durante la personalizzazione.
14|Stock y plazos|Bestand und Lieferzeiten|Disponibilità e tempi
15|El stock, los precios y los detalles de los productos se sincronizan directamente con el proveedor.|Bestände, Preise und Produktdetails werden direkt mit dem Lieferanten synchronisiert.|Disponibilità, prezzi e dettagli dei prodotti vengono sincronizzati direttamente con il fornitore.
16|Envío|Versand|Spedizione
17|Las opciones y los costes de entrega disponibles se muestran al finalizar la compra, antes de confirmar el pedido.|Verfügbare Lieferoptionen und Kosten werden vor der Bestellbestätigung an der Kasse angezeigt.|Le opzioni e i costi di consegna disponibili vengono mostrati al momento del pagamento, prima di confermare l'ordine.
18|Aplicaciones|Einsatzbereiche|Applicazioni
